item_id,shop_id,cat_id,name,price 2021-08-12,price 2021-08-13,price 2021-08-14,price 2021-08-15,price 2021-08-16,price 2021-08-17,sold 2021-08-12,sold 2021-08-13,sold 2021-08-14,sold 2021-08-15,sold 2021-08-16,sold 2021-08-17,availibility,min_sold,max_sold,delta_sold,avg_price,est_gmv
7172462939,139791804,100630,PROMO!!! lem kuku palsu lem gel harga 1 lembar isi 24tip lem jelly,-,1999,-,-,-,-,-,55601,-,-,-,-,1,55601,55601,0,1999,0
4217263544,94309880,100630,Madame Gie Madame Perfect Brow - MakeUp Pensil alis Mekanik,15000,15000,14900,16000,16000,17000,139831,139845,140216,140641,141086,141566,6,139831,141566,1735,15650,27152750
5647778471,48382819,100630,❤ BELIA ❤ MAKARIZO Hair Energy Shampoo Sachet 10mL (2x5mL) | Fibertherapy Shampo Sampo,900,900,900,900,900,900,139534,139649,141275,142923,144496,145528,6,139534,145528,5994,900,5394600
1720340880,94309880,100630,Madame Gie Magnifique Lip Tint - MakeUp Lipstik,-,16030,16030,18320,18320,17000,-,255254,255649,256102,256501,256912,5,255254,256912,1658,17140,28418120
6860888438,15978322,100630,(BPOM) SERUM WAJAH| Serum Collagen| Jerawat & bekas jerawat| skincare|Perawatan wajah|Serum Glowing,-,-,-,-,-,39000,-,-,-,-,-,12137,1,12137,12137,0,39000,0
1355132747,8175160,100630,ORIGINAL Bedak Tabur Marcks 40 Gram 40gr 40g 40 gr,11000,11000,11000,11000,11000,11000,171109,171147,172011,173538,174114,174845,6,171109,174845,3736,11000,41096000
4843833959,284607209,100630,Waxing Strip | Kain Penghilang Bulu | Sugar Waxingkit | Kain Wax,1000,-,-,-,-,-,55757,-,-,-,-,-,1,55757,55757,0,1000,0
7361472230,744873,100630,Masker Organik by LEA Gloria | Masker Bubuk by LEA Gloria Travel Size 10 grm 20 gr 50 gr BPOM,2250,2250,2250,2250,2250,2250,185889,185903,186446,187111,187679,188300,6,185889,188300,2411,2250,5424750
6095265601,486668696,100630,SUPER BREAST MASK - Masker Pembesar Payudara dan Pengencang payudara,25500,25500,25500,25500,25500,25500,10000,10000,10000,10000,10000,10000,6,10000,10000,0,25500,0
9679741932,298619969,100630,CREAM PREMIUM PENGHILANG FLEK 5X LEBIH CEPAT AMAN SKINGLOW TREATMENT,-,50000,-,-,50000,50000,-,10400,-,-,10400,10400,3,10400,10400,0,50000,0
8778172960,486668696,100630,SUPER BREAST MASK - Masker Pembesar Payudara dan Pengencang,25000,25000,25000,25000,-,-,10001,10001,10001,10001,-,-,4,10001,10001,0,25000,0
6211693448,201071840,100630,Whitelab Brightening Night Cream,67200,-,-,-,-,-,74773,-,-,-,-,-,1,74773,74773,0,67200,0
4389308621,358200526,100630,bedak lotong / beddak lotong asli / bedda lotong / beda lotong / lulur viral,10750,10750,10750,10750,10750,10750,27480,27529,28409,29217,29966,30679,6,27480,30679,3199,10750,34389250
6687672537,399299886,100630,Nature Reaction Crystal Bright BPOM Serum Pencerah Wajah Glowing & Bebas Jerawat & Flek Hitam,137000,-,-,-,-,-,10356,-,-,-,-,-,1,10356,10356,0,137000,0
3788581704,48382819,100630,❤ BELIA ❤ Garnier Micellar Water Pink | Blue Biru | Bi-phase Oil | Vit C Kuning | Rose Water 125ml,-,18800,18800,18800,18800,18700,-,29958,30636,31212,31851,32498,5,29958,32498,2540,18780,47701200
8045182509,169002723,100630,Misk thaharah / musk thaharah / misk al taharah / musk al thaharah 100% original SAUDI ARABIA 3ml,5000,5000,5000,5000,5000,5000,54019,54060,55487,56403,57273,58966,6,54019,58966,4947,5000,24735000
4543885412,133880409,100630,ORIGINAL ROREC HCHANA NATURAL SKIN CARE MASK SHEET MASKER TISU,-,1990,1990,1990,-,1990,-,39562,39826,39868,-,40142,4,39562,40142,580,1990,1154200
3733327813,211430437,100630,The Aesthetics Skin X Dion Mulya Moist In Jar Daily Soothing Moisturizer,95000,-,-,-,-,-,111508,-,-,-,-,-,1,111508,111508,0,95000,0
7552474007,18389453,100630,HB MALAM WHITENING UNGU/LOTION BIERLIAN SKINCARE/HANDBODY UNGU/TRIPLE LOTION WHITENING BIERLIAN,-,170000,170000,-,170000,170000,-,13661,13663,-,13663,13665,4,13661,13665,4,170000,680000
8943373562,115047264,100630,PROMO PARFUM ISLAMI SULTHAN NON ALKOHOL DAPAT 3 VARIAN EKSLUSIF BY MANA WA SALWA PARFUM,199000,199000,199000,199000,199000,199000,10000,10000,10000,10000,10000,10000,6,10000,10000,0,199000,0
5020029652,744873,100630,IMPLORA Eye Brow Pencil 2 IN 1 ( PENSIL + SERUTAN + SIKAT ) ORIGINAL BPOM / 2IN1 PENSIL ALIS IMPLORA,3890,3890,3890,3890,3890,3890,185263,185351,186378,187799,188975,190011,6,185263,190011,4748,3890,18469720
1545588062,8901630,100630,Lampu Natal led tumblr | tumblr light | lampu hias led | lampu dekorasi murah,11500,11500,11500,11500,11500,11500,323543,323608,324847,326318,327484,328473,6,323543,328473,4930,11500,56695000
10818227738,423900458,100630,The Face Shop Pelembab Wajah Pelembab Muka Pelembab Facial Moisturizing Lotion & Toner Suit 150ml,-,102600,102600,-,-,-,-,9997,10001,-,-,-,2,9997,10001,4,102600,410400
7688132289,78482885,100630,Nature Reaction Crystal Bright Serum Original BPOM,-,-,-,-,137000,-,-,-,-,-,15016,-,1,15016,15016,0,137000,0
1887125896,101088419,100630,"BUKAN UNTUK CUSTOMER ( BACA JANGAN MALAS PAHAM!!), KHUSUS RESELLER/AGEN PAKET PARTNER UTE SKINCARE",-,-,-,-,1000,-,-,-,-,-,119439,-,1,119439,119439,0,1000,0
10521946329,474042359,100630,Bellvada Skincare - Bellvada Tissue - Pemutih Bellvada - Tisu Whitening Alami - Ultimate Wipes,95000,95000,95000,95000,95000,95000,10001,10001,10001,10001,10001,10001,6,10001,10001,0,95000,0
6002420909,48382819,100630,❤ BELIA ❤ Hanasui ✔️BPOM Serum | Whitening Gold Vit C Collagen Anti Acne Propolis Men Bright Active,11600,11600,11600,11600,11600,11550,241968,242022,242941,243973,245107,245853,6,241968,245853,3885,11592,45033625
4656604193,17005061,100630,DEODORANT SPRAY/SR12 / DEODORANT PREMIUM SR12 / DEO SPRAY SR12 / deodorant spray sr12 penghilang bau,-,-,-,60000,60000,60000,-,-,-,11219,11220,11220,3,11219,11220,1,60000,60000
8240026298,174140461,100630,BAYAR COD AISH Brightening / Acne / Darkspot Serum KOREA - 100% ORIGINAL BPOM,-,-,-,-,-,119000,-,-,-,-,-,65336,1,65336,65336,0,119000,0
11521780623,487938494,100630,Bisa COD - Masker Spirulina Original - Masker organik - Penghilang jerawat - Pencerah wajah,-,-,21000,-,-,21000,-,-,12513,-,-,12517,2,12513,12517,4,21000,84000
5344880246,35419164,100630,READY STOCK TERMURAH JARING SABUN Multibeauty Soap Foaming Net Untuk Membusakan Sabun,-,-,-,-,-,600,-,-,-,-,-,37459,1,37459,37459,0,600,0
3694030307,483904450,100630,sabun Alpha Rules Dirt Off original perawatan pria- Sabun Mandi cair Body Wash pria/cowok 250 ml,125000,125000,-,175000,175000,175000,11828,11828,-,11828,11828,11828,5,11828,11828,0,155000,0
4196128564,500282245,100630,MS GLOW SERUM LUMINOUS GOLD ACNE LIFTING PEELING,-,-,145500,145500,-,-,-,-,10011,10011,-,-,2,10011,10011,0,145500,0
6434859878,88131133,100630,GELATIN KOMEDO MASKER ORGANIK WAJAH ORIGINAL,375,375,375,375,375,375,738259,738269,738977,739397,740316,741355,6,738259,741355,3096,375,1161000
1391759683,6080165,100630,SCARLETT WHITENING / SCARLET ORIGINAL lotion lulur sabun facial wash serum cream day night bright,55000,55000,55000,52000,52000,52000,690618,690644,691641,692416,693288,694329,6,690618,694329,3711,53500,198538500
9169917584,115047264,100630,PARFUM ISLAMI NON ALKOHOL PARFUM MANA WA SALWA PARFUM PRIA PARFUM WANITA PARFUM ORIGINAL,199000,199000,199000,199000,199000,199000,10000,10000,10000,10000,10000,10000,6,10000,10000,0,199000,0
6567461572,240855635,100630,(BERGARANSI) Vitasoftoil Penghilang Bekas Luka Keloid Selulit Stretchmark Benjolan,-,90000,-,-,-,-,-,10074,-,-,-,-,1,10074,10074,0,90000,0
9721235490,8901630,100630,[NEW] 2IN1 KUTEK HALAL KUTEKS 2 TONE KUTEK KOREA Cat Kuku muslimah Gel Nail polish,10000,-,-,-,-,-,51770,-,-,-,-,-,1,51770,51770,0,10000,0
2030946468,48382819,100630,❤ BELIA ❤ VIVA Milk Cleanser dan Face Tonic 100mL Air Mawar ( susu pembersih toner penyegar ),4350,4350,4350,4350,4350,4350,248898,248929,249610,250272,250790,251301,6,248898,251301,2403,4350,10453050
11419528516,310038106,100630,Beauty In The Pot 1 PAKET Kecantikan Skincare Krim Cream Crem Siang Malam Pemutih Wajah Glowing BPOM,-,-,199000,-,199000,199000,-,-,10204,-,10204,10204,3,10204,10204,0,199000,0
3439788286,94309880,100630,Madame Gie Color Pop Lip Balm Fruity Series,5000,5000,5000,5000,5000,7000,113050,113116,114182,115205,116120,116900,6,113050,116900,3850,5333,20533333
6540612810,280479296,100630,SERUM AISH ACNE/DARKSPOT/BRIGHTENING(MIX VARIAN) | 100% ORIGINAL BPOM | AISH SERUM KOREA BEST SELLER,-,119000,119000,119000,-,119000,-,11416,11416,11416,-,11416,4,11416,11416,0,119000,0
10110326352,9041468,100630,PARFUM MISK THAHARAH ORIGINAL100% SAUDI MUSK THAHARAH ASLI  PARFUM WANITA MISK THAHARAH,7500,-,-,-,-,7500,27778,-,-,-,-,29566,2,27778,29566,1788,7500,13410000
